TimeStamp,Fluid_Transaction,Liters_Dispensed,FleetNumber,Name,COY Number
2026-05-17 20:00:12,ACX30 Oil,110.90Ltr,WT4451,Laura Johnson,97587463
2026-05-18 06:00:48,85W-140 Oil,451.36Ltr,OHT6089,Lucas Mitchell,83123285
2026-05-18 06:00:24,85W-140 Oil,458.03Ltr,KWL1100,Michael Phillips,4947235
2026-05-18 09:30:00,85W-140 Oil,497.02Ltr,KFH4717,Lily Davis,92247255
2026-05-18 13:24:36,HYD 68 Oil,243.34Ltr,OHT6089,George Campbell,68680620
2026-05-18 17:19:12,15W40 Oil,71.87Ltr,KAD4059,Henry Lewis,96199972
2026-05-18 20:00:48,HYD 68 Oil,461.55Ltr,KWD3294,Laura Johnson,97587463
2026-05-19 06:00:24,85W-140 Oil,138.16Ltr,KAD1563,Lucas Young,52724039
2026-05-19 06:00:00,ACX30 Oil,335.90Ltr,OHT6089,Daniel Anderson,27457062
2026-05-19 08:57:36,15W40 Oil,158.86Ltr,KFH2040,Lucas Young,52724039
2026-05-19 12:52:12,15W40 Oil,431.59Ltr,KLB6750,Isabella Harris,76925647
2026-05-19 16:46:48,ACX30 Oil,550.98Ltr,KTH0064,Lucas Harris,41486519
2026-05-19 20:41:24,HYD 68 Oil,426.02Ltr,OHT2704,Emily White,89647331
2026-05-20 06:00:00,HYD 68 Oil,336.72Ltr,KWT2553,George Clark,18850542
2026-05-20 06:00:36,85W-140 Oil,547.36Ltr,KLB6750,Henry Lewis,96199972
2026-05-20 08:25:12,15W40 Oil,455.63Ltr,KMG1539,Mia Clark,20905089
2026-05-20 12:19:48,ACX30 Oil,65.74Ltr,OHT6089,Emily Thomas,19462106
2026-05-20 16:14:24,HYD 68 Oil,99.25Ltr,KWT2553,Grace Roberts,85735401
2026-05-20 20:09:00,85W-140 Oil,56.31Ltr,PBC6761,Olivia Taylor,96964921
2026-05-21 06:00:36,ACX30 Oil,201.80Ltr,KAD4059,Lily Davis,92247255
2026-05-21 06:00:12,15W40 Oil,248.58Ltr,PBC8697,Michael Phillips,4947235
2026-05-21 07:52:48,85W-140 Oil,349.66Ltr,OFH7803,Chloe Taylor,62218909
2026-05-21 11:47:24,HYD 68 Oil,238.48Ltr,WT4451,Olivia Young,53144987
2026-05-21 15:42:00,HYD 68 Oil,591.54Ltr,OFL9573,Lucas Harris,41486519
2026-05-21 19:36:36,ACX30 Oil,43.91Ltr,PBC8697,Sarah Young,13187795
2026-05-21 20:00:12,85W-140 Oil,342.70Ltr,KWD5256,Chloe Taylor,62218909
2026-05-22 06:00:48,85W-140 Oil,359.70Ltr,KFH2040,Michael Phillips,4947235
2026-05-22 07:20:24,HYD 68 Oil,8.08Ltr,KWD3294,Michael Lewis,28770724
2026-05-22 11:15:00,85W-140 Oil,479.71Ltr,OFL9573,Henry Allen,43780801
2026-05-22 15:09:36,HYD 68 Oil,579.21Ltr,KWT2553,David Smith,26305713
2026-05-22 19:04:12,ACX30 Oil,311.13Ltr,KLB6750,Charlotte Campbell,23693565
2026-05-22 20:00:48,ACX30 Oil,224.17Ltr,OHT2704,William Adams,18969804
2026-05-23 06:00:24,15W40 Oil,341.71Ltr,KWD5256,Grace Roberts,85735401
2026-05-23 06:48:00,ACX30 Oil,489.61Ltr,KMG5700,Lily Lewis,13138584
2026-05-23 10:42:36,15W40 Oil,117.43Ltr,OFL9573,Charlotte Campbell,23693565
2026-05-23 14:37:12,ACX30 Oil,404.90Ltr,KFH4717,Mia Clark,20905089
2026-05-23 18:31:48,15W40 Oil,171.28Ltr,KWD5256,Lucas Harris,41486519
2026-05-23 20:00:24,HYD 68 Oil,149.38Ltr,KDT3034,Ethan Allen,48515493
2026-05-24 06:00:00,15W40 Oil,535.81Ltr,OHT6089,Lucas Harris,41486519
2026-05-24 06:15:36,HYD 68 Oil,458.25Ltr,KDT8580,Michael Phillips,4947235
2026-05-24 10:10:12,HYD 68 Oil,444.74Ltr,KLB6750,Emma Phillips,42464177
2026-05-24 14:04:48,85W-140 Oil,441.23Ltr,PBC6761,Emily White,89647331
2026-05-24 17:59:24,HYD 68 Oil,348.41Ltr,WT4451,Lily Lewis,13138584
2026-05-24 20:00:00,15W40 Oil,177.53Ltr,KMG5993,Lucas Harris,41486519
2026-05-25 06:00:36,HYD 68 Oil,383.50Ltr,OHT8635,Lily Davis,92247255
2026-05-25 06:00:12,15W40 Oil,189.82Ltr,KWT2553,Laura Johnson,97587463
2026-05-25 09:37:48,85W-140 Oil,16.27Ltr,KMG5700,Mia Nelson,63955959
2026-05-25 13:32:24,ACX30 Oil,479.34Ltr,PBC6761,Emma Phillips,42464177
2026-05-25 17:27:00,HYD 68 Oil,564.85Ltr,KWD5256,Chloe Thomas,17316322
2026-05-25 20:00:36,ACX30 Oil,31.09Ltr,OFL9573,James Carter,24517618
2026-05-26 06:00:12,85W-140 Oil,260.16Ltr,KWT2553,Lily Lewis,13138584
2026-05-26 06:00:48,ACX30 Oil,569.09Ltr,KTD5557,Lucas Young,52724039
2026-05-26 09:05:24,ACX30 Oil,46.03Ltr,KMG5993,George Clark,18850542
2026-05-26 13:00:00,85W-140 Oil,51.18Ltr,KWL1100,Olivia Young,53144987
2026-05-26 16:54:36,HYD 68 Oil,230.00Ltr,OFH2006,Charlotte Campbell,23693565
2026-05-26 20:49:12,HYD 68 Oil,255.31Ltr,KAD1563,Emily Thomas,19462106
2026-05-27 06:00:48,15W40 Oil,218.60Ltr,OHT2704,Michael Phillips,4947235
2026-05-27 06:00:24,ACX30 Oil,187.03Ltr,KMG1539,Lucas Harris,41486519
2026-05-27 08:33:00,15W40 Oil,17.53Ltr,KWT9620,Isabella Harris,76925647
2026-05-27 12:27:36,15W40 Oil,340.34Ltr,OHT2704,David Smith,26305713
2026-05-27 16:22:12,ACX30 Oil,16.17Ltr,KWD5256,Daniel Anderson,27457062
2026-05-27 20:16:48,85W-140 Oil,562.84Ltr,OHT6089,Chloe Taylor,62218909
2026-05-28 06:00:24,15W40 Oil,566.56Ltr,KLB0089,Olivia Taylor,96964921
2026-05-28 06:00:00,ACX30 Oil,546.00Ltr,KAD4059,Grace Roberts,85735401
2026-05-28 08:00:36,15W40 Oil,225.74Ltr,KFH2040,George Clark,18850542
2026-05-28 11:55:12,ACX30 Oil,123.74Ltr,KTD5557,Lucas Harris,41486519
2026-05-28 15:49:48,85W-140 Oil,454.94Ltr,OBEX7239,Robert Mitchell,34318744
2026-05-28 19:44:24,HYD 68 Oil,20.49Ltr,WT4451,George Clark,18850542
2026-05-28 20:00:00,15W40 Oil,426.64Ltr,KMG1539,Robert Mitchell,34318744
2026-05-29 06:00:36,HYD 68 Oil,477.14Ltr,OHT2704,George Campbell,68680620
2026-05-29 07:28:12,85W-140 Oil,311.02Ltr,KLB6750,William Smith,37941481
2026-05-29 11:22:48,85W-140 Oil,439.71Ltr,KTD5557,Chloe Taylor,62218909
2026-05-29 15:17:24,85W-140 Oil,591.34Ltr,KDT3034,William Adams,18969804
2026-05-29 19:12:00,HYD 68 Oil,171.57Ltr,KWD3294,Lily Davis,92247255
2026-05-29 20:00:36,HYD 68 Oil,362.85Ltr,KWT9620,Lucas Harris,41486519
2026-05-30 06:00:12,HYD 68 Oil,91.35Ltr,KWD3294,Mia Walker,2956691
2026-05-30 06:55:48,85W-140 Oil,162.76Ltr,KLB6750,Olivia Taylor,96964921
2026-05-30 10:50:24,15W40 Oil,257.79Ltr,KWD3294,Olivia Taylor,96964921
2026-05-30 14:45:00,HYD 68 Oil,278.08Ltr,KLB6750,Lucas Harris,41486519
2026-05-30 18:39:36,HYD 68 Oil,409.65Ltr,OHT2704,Grace White,15387207
2026-05-30 20:00:12,HYD 68 Oil,351.21Ltr,OHT8635,Robert Mitchell,34318744
2026-05-31 06:00:48,HYD 68 Oil,363.41Ltr,KDT2515,Emily White,89647331
2026-05-31 06:23:24,85W-140 Oil,246.76Ltr,KMG5743,George Campbell,68680620
2026-05-31 10:18:00,15W40 Oil,9.92Ltr,KAD4059,Olivia Young,53144987
2026-05-31 14:12:36,HYD 68 Oil,380.90Ltr,KDT3034,Lucas Young,52724039
2026-05-31 18:07:12,15W40 Oil,65.43Ltr,KLB0089,Lucas Young,52724039
2026-05-31 20:00:48,15W40 Oil,528.43Ltr,KDT2515,Lily Lewis,13138584
2026-06-01 06:00:24,85W-140 Oil,376.79Ltr,OFH2006,David Smith,26305713
2026-06-01 06:00:00,ACX30 Oil,544.43Ltr,KAD1563,George Campbell,68680620
2026-06-01 09:45:36,HYD 68 Oil,294.95Ltr,KTD5557,David Smith,26305713
2026-06-01 13:40:12,ACX30 Oil,457.09Ltr,OBEX7239,Henry Lewis,96199972
2026-06-01 17:34:48,15W40 Oil,588.84Ltr,KDT2515,Noah Johnson,96702775
2026-06-01 20:00:24,15W40 Oil,250.62Ltr,OHT6089,William Adams,18969804
2026-06-02 06:00:00,HYD 68 Oil,249.67Ltr,OHT6089,Ethan Allen,48515493
2026-06-02 06:00:36,85W-140 Oil,331.58Ltr,KDT3034,George Campbell,68680620
2026-06-02 09:13:12,HYD 68 Oil,312.51Ltr,PBC8697,Henry Allen,43780801
2026-06-02 13:07:48,85W-140 Oil,20.53Ltr,KMG5743,Olivia Young,53144987
2026-06-02 17:02:24,ACX30 Oil,42.74Ltr,WT4451,Mia Walker,2956691
2026-06-02 20:57:00,15W40 Oil,255.53Ltr,KFH2040,Ethan Allen,48515493
2026-06-03 06:00:36,15W40 Oil,36.26Ltr,KMG5700,Laura Johnson,97587463
2026-06-03 06:00:12,HYD 68 Oil,62.13Ltr,PBC8697,Emily Thomas,19462106
2026-06-03 08:40:48,ACX30 Oil,300.79Ltr,KFH4717,Lucas Mitchell,83123285
2026-06-03 12:35:24,ACX30 Oil,444.63Ltr,OHT2704,Lily Lewis,13138584
2026-06-03 16:30:00,HYD 68 Oil,422.40Ltr,OHT2704,Lucas Harris,41486519
2026-06-03 20:24:36,15W40 Oil,301.36Ltr,OHT2704,Daniel Anderson,27457062
2026-06-04 06:00:12,85W-140 Oil,567.03Ltr,KMG5700,Mia Walker,2956691
2026-06-04 06:00:48,HYD 68 Oil,536.30Ltr,OHT2704,Robert Mitchell,34318744
2026-06-04 08:08:24,15W40 Oil,397.36Ltr,OFH2006,Lily Davis,92247255
2026-06-04 12:03:00,85W-140 Oil,176.28Ltr,KWD3294,James Carter,24517618
2026-06-04 15:57:36,15W40 Oil,9.99Ltr,KDT3034,George Campbell,68680620
2026-06-04 19:52:12,HYD 68 Oil,584.98Ltr,OHT6089,William Smith,37941481
2026-06-04 20:00:48,15W40 Oil,571.40Ltr,KWT2553,Chloe Thomas,17316322
2026-06-05 06:00:24,HYD 68 Oil,317.44Ltr,KAD1563,Mia Nelson,63955959
2026-06-05 07:36:00,15W40 Oil,132.27Ltr,KMG5743,Lucas Mitchell,83123285
2026-06-05 11:30:36,15W40 Oil,158.99Ltr,KTH0064,William Adams,18969804
2026-06-05 15:25:12,85W-140 Oil,454.68Ltr,OFL9573,Olivia Taylor,96964921
2026-06-05 19:19:48,HYD 68 Oil,10.98Ltr,KDT8580,William Adams,18969804
2026-06-05 20:00:24,ACX30 Oil,155.69Ltr,KLB0089,Emma Phillips,42464177
2026-06-06 06:00:00,HYD 68 Oil,552.86Ltr,KWT2553,Mia Walker,2956691
2026-06-06 07:03:36,15W40 Oil,472.66Ltr,KDT8580,Chloe Taylor,62218909
2026-06-06 10:58:12,ACX30 Oil,129.23Ltr,KMG5993,Lily Lewis,13138584
2026-06-06 14:52:48,ACX30 Oil,36.60Ltr,PBC8697,Isabella Brown,34480657
2026-06-06 18:47:24,ACX30 Oil,478.82Ltr,PBC6761,Lucas King,34011183
2026-06-06 20:00:00,85W-140 Oil,78.33Ltr,OFH7803,Lily Davis,92247255
2026-06-07 06:00:36,15W40 Oil,528.38Ltr,KMG5743,David Smith,26305713
2026-06-07 06:31:12,HYD 68 Oil,539.66Ltr,OFH2006,Charlotte Campbell,23693565
2026-06-07 10:25:48,15W40 Oil,226.97Ltr,KLB0089,Laura Johnson,97587463
2026-06-07 14:20:24,85W-140 Oil,411.65Ltr,KWT9620,Ethan Allen,48515493
2026-06-07 18:15:00,85W-140 Oil,119.64Ltr,KWT2553,Michael Lewis,28770724
2026-06-07 20:00:36,ACX30 Oil,436.71Ltr,KMG5993,Henry Allen,43780801
2026-06-08 06:00:12,ACX30 Oil,449.29Ltr,KMG5993,Olivia Taylor,96964921
2026-06-08 06:00:48,85W-140 Oil,514.82Ltr,KTD5557,Sarah Young,13187795
2026-06-08 09:53:24,15W40 Oil,470.07Ltr,KMG1539,Lily Davis,92247255
2026-06-08 13:48:00,85W-140 Oil,375.88Ltr,PBC6761,Olivia Taylor,96964921
2026-06-08 17:42:36,ACX30 Oil,242.57Ltr,KMG5700,Chloe Thomas,17316322
2026-06-08 20:00:12,HYD 68 Oil,85.87Ltr,KWD5256,Lily Davis,92247255
2026-06-09 06:00:48,ACX30 Oil,61.52Ltr,PBC8697,Charlotte Campbell,23693565
2026-06-09 06:00:24,ACX30 Oil,458.35Ltr,WT4451,Daniel Anderson,27457062
2026-06-09 09:21:00,15W40 Oil,275.40Ltr,KWD5256,William Adams,18969804
2026-06-09 13:15:36,HYD 68 Oil,320.62Ltr,KDT2515,Laura Johnson,97587463
2026-06-09 17:10:12,15W40 Oil,257.68Ltr,OHT8635,Emma Phillips,42464177
2026-06-09 20:00:48,15W40 Oil,207.65Ltr,OFH2006,Lucas Mitchell,83123285
2026-06-10 06:00:24,HYD 68 Oil,48.88Ltr,OHT2704,Mia Walker,2956691
2026-06-10 06:00:00,15W40 Oil,402.01Ltr,PBC8697,Chloe Thomas,17316322
2026-06-10 08:48:36,ACX30 Oil,318.13Ltr,KMG5743,Emily Thomas,19462106
2026-06-10 12:43:12,15W40 Oil,367.15Ltr,KMG5700,Lucas King,34011183
2026-06-10 16:37:48,HYD 68 Oil,142.79Ltr,OHT2704,Ethan Allen,48515493
2026-06-10 20:32:24,85W-140 Oil,306.93Ltr,KMG5743,James Carter,24517618
2026-06-11 06:00:00,15W40 Oil,147.49Ltr,KTH0064,Jack Scott,86281141
2026-06-11 06:00:36,85W-140 Oil,290.57Ltr,KFH4717,Mia Walker,2956691
2026-06-11 08:16:12,HYD 68 Oil,453.15Ltr,OBEX7239,Lucas Harris,41486519
2026-06-11 12:10:48,HYD 68 Oil,361.87Ltr,OFH2006,Emily White,89647331
2026-06-11 16:05:24,15W40 Oil,441.52Ltr,KMG5993,Michael Phillips,4947235
